tweet_id	emoji_position	Tweet Sent Emoji_A1	Tweet Sent Emoji_A2	Tweet Sent Emoji_A3
762508116227350532	1	Topic	Topic	Topic
762509613954576384	1	Positive	Positive	Positive
762513376488587265	2	Neutral	Negative	Positive
762513376488587265	1	Neutral	Negative	Positive
762517844810620928	1	Topic	Topic	Topic
762523227574800384	1	Topic	Negative	Neutral
762526462809341952	1	Positive	Positive	Positive
762526462809341952	2	Positive	Positive	Positive
762527393496129536	1	Negative	Negative	Negative
762527771738247168	1	Positive	Positive	Positive
762527771738247168	2	Positive	Positive	Positive
762544424400347136	1	Positive	Positive	Positive
762572846484770817	1	Positive	Positive	Positive
762572846484770817	2	Positive	Positive	Positive
762595288024358913	1	Topic	Topic	Positive
762595288024358913	2	Topic	Topic	Positive
762606692475346944	1	Topic	Topic	Topic
762606692475346944	2	Topic	Topic	Topic
762606692475346944	3	Topic	Topic	Topic
762621969619619840	1	Topic	Positive	Positive
762642172181041161	1	Positive	Positive	Positive
762647262874906624	1	Positive	Positive	Positive
762650884610281475	1	Positive	Positive	Positive
762654323348078592	1	Negative	Negative	Negative
762668307984056320	1	Positive	Positive	Positive
762671099490500608	1	Negative	Negative	Negative
762671357796548608	1	Positive	Positive	Positive
762671357796548608	2	Positive	Positive	Positive
762678836521828352	1	Topic	Topic	Topic
762687456307216384	1	Positive	Positive	Positive
762693424797528065	1	Topic	Topic	Positive
762698126037778432	1	Positive	Positive	Positive
762700502043725824	1	Negative	Negative	Neutral
762700502043725824	2	Negative	Negative	Neutral
762703447128891392	1	Topic	Topic	Neutral
762703447128891392	2	Topic	Topic	Neutral
762727446349279232	1	Positive	Positive	Positive
762753992959094785	1	Topic	Topic	Neutral
762753992959094785	2	Topic	Topic	Neutral
762754277089480704	1	Neutral	Negative	Neutral
762754277089480704	2	Neutral	Negative	Neutral
762755411489411072	1	Topic	Positive	Topic
762759576655568896	1	Negative	Negative	Negative
762791787278823425	1	Neutral	Neutral	Neutral
762791988114644996	1	Neutral	Positive	Positive
762804364356366336	1	Positive	Positive	Positive
762823417544323076	1	Neutral	Neutral	Neutral
762823417544323076	2	Neutral	Neutral	Neutral
762824415549673472	1	Negative	Negative	Neutral
762849711875252224	1	Positive	Positive	Positive
762849711875252224	2	Positive	Positive	Positive
762855892341690372	1	Positive	Negative	Positive
762855892341690372	2	Positive	Negative	Positive
762868525434179585	1	Topic	Neutral	Positive
762870889247494144	1	Negative	Negative	Negative
762870889247494144	2	Negative	Negative	Negative
762870897875292160	1	Positive	Positive	Positive
762870897875292160	2	Positive	Positive	Positive
762870897875292160	3	Positive	Positive	Positive
762871715634393092	1	Topic	Positive	Positive
762884173493211136	1	Negative	Negative	Negative
762885957808852994	1	Negative	Negative	Negative
762885957808852994	2	Negative	Negative	Negative
762906385843531777	1	Topic	Topic	Neutral
762906385843531777	2	Topic	Topic	Neutral
762906385843531777	3	Topic	Topic	Neutral
762906385843531777	4	Topic	Topic	Neutral
762906385843531777	5	Topic	Topic	Neutral
762920120108756992	1	Neutral	Negative	Negative
762922555112030208	1	Neutral	Neutral	Neutral
762922555112030208	2	Neutral	Neutral	Neutral
762922555112030208	3	Neutral	Neutral	Neutral
762946534086356992	1	Positive	Positive	Positive
762946534086356992	2	Positive	Positive	Positive
762957336419926016	1	Positive	Positive	Positive
762977684930621440	1	Positive	Positive	Positive
763038951561170944	1	Positive	Positive	Positive
763048849111969792	1	Positive	Positive	Positive
763057571792089088	1	Topic	Topic	Neutral
763071268325171200	1	Positive	Positive	Positive
763071268325171200	2	Positive	Positive	Positive
763080422456561664	1	Neutral	Positive	Neutral
763089379405488128	1	Positive	Positive	Positive
763089379405488128	2	Positive	Positive	Positive
763093562636599296	1	Positive	Positive	Positive
763097223227768832	1	Positive	Positive	Positive
763098583050645504	1	Neutral	Neutral	Neutral
763098975645802497	1	Positive	Positive	Positive
763100164328488960	1	Negative	Negative	Negative
763100301985361920	1	Positive	Positive	Positive
763107355772936192	1	Neutral	Positive	Neutral
763107355772936192	2	Neutral	Positive	Neutral
763163565490569216	1	Topic	Topic	Topic
763178281793298432	1	Positive	Positive	Positive
763217585470963712	1	Neutral	Negative	Negative
763217585470963712	2	Neutral	Negative	Negative
763217585470963712	3	Neutral	Negative	Negative
763222362728701952	1	Positive	Positive	Positive
763222362728701952	2	Positive	Positive	Positive
763223292731797504	1	Topic	Positive	Positive
763229642169786368	1	Neutral	Neutral	Negative
763229642169786368	2	Neutral	Neutral	Negative
763230814104682496	1	Positive	Positive	Positive
763234100610236416	1	Positive	Positive	Positive
763234149872209920	1	Positive	Positive	Positive
763237758408077312	1	Positive	Positive	Positive
763237758408077312	2	Positive	Positive	Positive
763237758408077312	3	Positive	Positive	Positive
763238228254154753	1	Positive	Positive	Positive
763238228254154753	2	Positive	Positive	Positive
763290089308954624	1	Negative	Negative	Negative
763290125119918080	1	Positive	Positive	Positive
763306110967123968	1	Neutral	Neutral	Neutral
763333868606873600	1	Positive	Positive	Positive
763342980447023104	1	Positive	Positive	Positive
763346249231831040	1	Positive	Positive	Neutral
763382386381979649	1	Topic	Topic	Positive
763382386381979649	2	Topic	Topic	Positive
763388047933091840	1	Positive	Positive	Positive
763398974938025984	1	Negative	Positive	Positive
763398981435133953	1	Topic	Positive	Positive
763401604754202624	1	Positive	Positive	Positive
763401604754202624	2	Positive	Positive	Positive
763437718420332545	1	Negative	Negative	Negative
763468806664577024	1	Neutral	Positive	Positive
763485642911133696	1	Positive	Positive	Positive
763493756989345796	1	Positive	Positive	Positive
763494086087053313	1	Positive	Positive	Negative
763494086087053313	2	Positive	Positive	Negative
763494086087053313	3	Positive	Positive	Negative
763505026090217472	1	Negative	Negative	Negative
763505026090217472	2	Negative	Negative	Negative
763505026090217472	3	Negative	Negative	Negative
763505682494750720	1	Negative	Negative	Negative
763505682494750720	2	Negative	Negative	Negative
763522842579185664	1	Negative	Negative	Negative
763522933289431040	1	Neutral	Negative	Negative
763538592203276288	1	Positive	Positive	Positive
763569387185975297	1	Neutral	Negative	Negative
763573437679960064	1	Topic	Positive	Positive
763581780435673088	1	Neutral	Positive	Neutral
763581780435673088	2	Neutral	Positive	Neutral
763581780435673088	3	Neutral	Positive	Neutral
763581780435673088	4	Neutral	Positive	Neutral
763581780435673088	5	Neutral	Positive	Neutral
763584952172675072	1	Positive	Positive	Positive
763597962039726080	1	Positive	Positive	Positive
763597962039726080	2	Positive	Positive	Positive
763601210570047488	1	Negative	Negative	Negative
763610044315213824	2	Negative	Negative	Negative
763610044315213824	1	Negative	Negative	Negative
763613297685913602	1	Positive	Positive	Positive
763613297685913602	2	Positive	Positive	Positive
763722301816836096	1	Positive	Positive	Positive
763728280730083328	1	Positive	Positive	Positive
763729910070251520	1	Negative	Negative	Negative
763729910070251520	2	Negative	Negative	Negative
763732718735810560	1	Positive	Positive	Positive
763751409208524800	1	Topic	Topic	Topic
763777181428293633	1	Negative	Positive	Positive
763779536781619200	1	Neutral	Positive	Positive
763783251894870021	1	Negative	Negative	Negative
763790440994779137	1	Positive	Positive	Positive
763790440994779137	2	Positive	Positive	Positive
763805455961456640	1	Negative	Negative	Negative
763805455961456640	2	Negative	Negative	Negative
763805861277896704	1	Positive	Positive	Positive
763847494744899585	1	Negative	Negative	Negative
763847770587496449	1	Positive	Positive	Positive
763861136659722240	1	Positive	Positive	Positive
763868294256336897	1	Positive	Positive	Positive
763909916725829632	1	Positive	Positive	Positive
763942407666741251	1	Topic	Topic	Neutral
763942407666741251	2	Topic	Topic	Neutral
763992184026640388	1	Positive	Neutral	Positive
763992184026640388	2	Positive	Neutral	Positive
764008637261975552	1	Positive	Positive	Positive
764054205556404224	1	Positive	Positive	Positive
764124242505904129	1	Positive	Positive	Positive
764134509033902080	1	Positive	Positive	Neutral
764134509033902080	2	Positive	Positive	Neutral
764134509033902080	3	Positive	Positive	Neutral
764156045434302464	1	Topic	Topic	Topic
764175857388838912	1	Positive	Positive	Positive
764214342149672961	1	Topic	Positive	Positive
764214342149672961	2	Topic	Positive	Positive
764220513669488641	1	Positive	Positive	Positive
764225231892480005	1	Neutral	Neutral	Positive
764228222561218560	1	Neutral	Positive	Positive
764242208337764352	1	Negative	Negative	Negative
764242208337764352	2	Negative	Negative	Negative
764242208337764352	3	Negative	Negative	Negative
764243149719871488	1	Topic	Positive	Positive
764291718938144770	1	Positive	Positive	Positive
764291806796189696	1	Positive	Positive	Positive
764297220753469440	1	Negative	Positive	Negative
764385105653538816	1	Neutral	Negative	Negative
764466249053179904	1	Positive	Positive	Positive
764475999656435712	1	Positive	Positive	Negative
764502292921982976	1	Positive	Positive	Positive
